sample_id,run_id,fastq_1,fastq_2
ERR5766180,PRJEB44507,s3://compass-client-swipebiome/Test/ERR5766180_1.fastq.gz,s3://compass-client-swipebiome/Test/ERR5766180_2.fastq.gz
ERR5766181,PRJEB44507,s3://compass-client-swipebiome/Test/ERR5766181_1.fastq.gz,s3://compass-client-swipebiome/Test/ERR5766181_2.fastq.gz
